Menopausal_Status Quartile_biomarker Breast_Cancer Count
Premenopausal		1					Yes			71
Premenopausal		1					No			222
Premenopausal		2					Yes			101
Premenopausal		2					No			216
Premenopausal		3					Yes			94
Premenopausal		3					No			214
Premenopausal		4					Yes			91
Premenopausal		4					No			218
Postmenopausal		1					Yes			277
Postmenopausal		1					No			408
Postmenopausal		2					Yes			299
Postmenopausal		2					No			396
Postmenopausal		3					Yes			340
Postmenopausal		3					No			419
Postmenopausal		4					Yes			385
Postmenopausal		4					No			409
