num_part trich age mg  Count
 0         0    1  No    41
 0         0    1  Yes   7
 0         0    2  No    80
 0         0    2  Yes   6
 0         0    3  No    18
 0         0    3  Yes   3
 0         1    1  No    7
 0         1    1  Yes   0
 0         1    2  No    24
 0         1    2  Yes   2
 0         1    3  No    3
 0         1    3  Yes   0
 1         0    1  No    40
 1         0    1  Yes   17
 1         0    2  No    69
 1         0    2  Yes   15
 1         0    3  No    17
 1         0    3  Yes   0
 1         1    1  No    6
 1         1    1  Yes   11
 1         1    2  No    20
 1         1    2  Yes   7
 1         1    3  No    5
 1         1    3  Yes   2
